"HolderAddress","Balance","PendingBalanceUpdate"
"0x99556e210123da382eded3c72aa8dcb605c3c435","4,969,142.059958461383392431","No"
"0x24451f47caf13b24f4b5034e1df6c0e401ec0e46","4,457,250.402627428190909819","No"
"0x1ea5df273f1b2e0b10554c8f6f7cc7ef34f6a51b","1,483,821.382235949948900675","No"
"0x3bb6e9c06f8b19276b4ba0300757e490bee01be8","185,095.906686682848572705","No"
"0x4e30f3560d004953f963e54790098406e9f7cae1","145,601.363775315857864809","No"
"0xf494348c04be6999a3058b56068b7c84c5f50a34","102,280.215752021676769177","No"
"0x6fa303e72bed54f515a513496f922bc331e2f27e","94,473.014755951023544902","Yes"
"0x95978c06f447463329f2fa4eace493f81d2ad68a","80,216.805236333755240966","No"
"0xb8610ec7fbb5744778798749e7683abe78298573","74,126.919002579810140823","No"
"0xb064ea265e262ea2d21645ff5aa127c3088955ee","68,521.997336894805507479","No"
"0xea03aedda280ed21f39cb6084b4f84bacd3ebc31","44,219.174524797903355741","No"
"0x0440b8b9df19d33d0312e0f4b24bb42023c1dbe3","43,818.366231933165424491","No"
"0x73443afcc5838e8cbc765ac2d89abb408e33dbdb","33,860.68430879763394961","No"
"0x0d59cb89dc8116102384d1b70fc4e04ad19e8aed","30,472.716953574916340648","No"
"0xd723e78797a7ea551c5ca2d20f834862fbff95ef","24,824.493549007274762529","No"
"0xca9337244b5f04cb946391bc8b8a980e988f9a6a","24,003.245373680229483614","No"
"0x58095979b412a366687ca05cbe85ff56241be21f","23,683.029344515160536248","No"
"0x6b6c603fb50c8e8603f75772188fa174fbe73cfd","22,000.534798262559719594","No"
"0x19562678fae5f957afc8955ef1e5f084ee082d55","21,902.055776830387419887","No"
"0xdba17a58883881cd2af6d2bca9f5ab8ba9bc64a5","21,577.987101883862520201","No"
"0x08c3c52a055c13fc6647b10a7c1e5840984d5762","21,577.37337769038634399","No"
"0x326740b7ab87bed9387dd84d9b7bbd0b3403b548","20,136.127979894448203409","No"
"0x02b1cf4ceaa76b4c5a7b2fe161272ea416b68a8e","19,050.235839965002009605","No"
"0x3e34da96dc0478faeef081c253a192f921d0ed4f","18,912.541985257089630618","No"
"0xa0ded58c50391dc3e4a7d2bc52192aa782fc3229","18,458.189659541675165022","No"
"0x8b2bc7d000d395cba8442e4d835a5e77e4f9d1fe","18,378.907714122587691349","No"
"0x5ecb7999f88335fd73561c102cb2529d97bef300","17,272.072619586532916661","No"
"0xd40386f5b995c140e89088f4afef804c2b3d68c4","16,624.834876567268140558","No"
"0x29b8bd99ebe5a2308df778908a23a4123141b6fb","15,558.558283445030168677","No"
