"HolderAddress","Balance","PendingBalanceUpdate"
"0x00c62fb0ed991c19edffedf58136f42d188c3cf2","2,750,000","No"
"0x3c867996f663bb41568b421157288026d462fc67","2,737,993.416829191383423077","No"
"0x5fc4c71c07827f4faa13cd60fe975d39484b1be7","2,734,153.879341171530728251","No"
"0xdd1ecae49312f5a2fef65d13327e92d32864fdee","2,601,623.526907739976799943","No"
"0xc2c803ff8cccab6ece4a9e41c8aab03312852d64","2,597,786","No"
"0x61b89a4c5342cda48c40d5d7b16894ba5ff425a0","2,574,852.73561465681963832","No"
"0xa0c6e86e59e3f2b2e58b4893cc371a2d71188d76","2,557,644.994206289805350064","No"
"0x583e6f82607abd327cfba9f30bd97bef9fd8e65b","2,376,327.99094","No"
"0x789d3507f89106d31bd9c5957ab12c79d043d666","2,277,030.952039994995519238","No"
"0x9d21e02ea5e5e43eb1b71527d8feea271fa67df8","2,266,985.525428250217379261","No"
"0x9590f326aefd90ad8117977b991764f910206d97","2,238,792.268531698204211033","No"
"0x5a9dfddc9055a32d8b1ea8b55c03cad7ea8c28ca","2,198,789.858342578759987467","No"
"0x0e7dc08fe3be4feeb7ad0c1d2e950b9d2f4c6007","2,068,313.228569598315215762","No"
"0x654109588de328480d9013f67f9437a631979e20","2,000,000.890242744461346711","No"
"0xf03ef3e139a037363a9a8e623999a69276449039","1,973,875.036203891605035134","No"
"0x4f65f97c0e40e8635253cf27ce5c412c450b4710","1,971,638.505015291823952499","No"
"0xb27ebcdc730690c672990ccf550241375d329c25","1,965,119.093712908205290859","No"
"0x894278d8e1f6aa306c80f968fda2e60e2fd7b860","1,942,104.699790906410667205","No"
"0xccb77c3e5c60cf9a30fe1a83827c0cdd8e09991f","1,926,347.206418555170822286","No"
"0x0c7cf11f038f54b275db055793dedbac7851dc9d","1,921,944.872343574657853358","No"
"0x15d248b84484f9d6df4d676b7e3bdf8c30027bbb","1,852,694.982069508247779034","No"
"0x7592ca1ad468ddac5a97a5625c1c55e36338f786","1,797,067.755589323399746341","No"
"0x7d99bce04299e443342813325ea865e3cb462ec9","1,767,068.77","No"
"0x09be9ab0eb61327d26904bae69efdc6633d5eec8","1,713,322.919462298930758268","No"
